split,doc_id,severity,kind,item_id,surface_or_technique,normalized_id,evidence_preview,previous_basis,decision,adjudication_basis,reviewer,review_date
train,aa23-074a,review,exploited_by_boundary_recertification_required,R3,T1190,,conducting reconnaissance and scanning activities [T1595.002] that correlate to the successful exploitation of CVE-2019-18935 in the agency’s IIS server running Telerik UI for ASP.NET AJAX [T1190].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a/R3 directly binds CVE-2019-18935 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-074a-telerik-cve-18935,blocking,weakness_without_local_explicit_cwe,E5,deserialization,CWE-502,NET deserialization vulnerability (CVE-2019-18935) in Progress Telerik user interface (UI) for ASP.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-074a-telerik-cve-18935,blocking,weakness_without_local_explicit_cwe,E82,deserialization,CWE-502,NET deserialization vulnerability (CVE-2019-18935) in an instance of Telerik UI for ASP.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-074a-telerik-cve-18935,review,exploited_by_boundary_recertification_required,R13,T1190,,| 04/14/2023 | Successful IIS server exploitation | APT actors exploited CVE-2017-9248 in the agency’s IIS server [T1190].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a-telerik-cve-18935/R13 directly binds CVE-2017-9248 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-074a-telerik-cve-18935,review,exploited_by_boundary_recertification_required,R6,T1190,,| Exploit Public-Facing Application | T1190 | APT actors exploited CVE-2017-9248 in an FCEB agency’s Microsoft IIS server.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a-telerik-cve-18935/R6 directly binds CVE-2017-9248 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-074a-telerik-cve-18935,review,exploited_by_boundary_recertification_required,R7,T1190,,the successful exploitation of CVE-2019-18935 in the agency’s IIS server running Telerik UI for ASP.NET AJAX [T1190].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a-telerik-cve-18935/R7 directly binds CVE-2019-18935 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-108,review,exploited_by_boundary_recertification_required,R1,T1190,,PT28 exploited the vulnerability CVE-2017-6742 (Cisco Bug ID: CSCve54313) [T1190].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-108/R1 directly binds CVE-2017-6742 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-108,review,exploited_by_boundary_recertification_required,R2,T1190,,Initial Access T1190 Exploit Public- facing Application. APT28 exploited default/well-known community strings in SNMP as outlined in CVE-2017-6742 (Cisco Bug ID: CSCve54313),verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-108/R2 directly binds CVE-2017-6742 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-136a,review,exploited_by_boundary_recertification_required,R4,T1068,,"Exploitation for Privilege Escalation T1068 BianLian group actors exploited CVE-2022-37969, which affects Windows 10 and 11 systems.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-136a/R4 directly binds CVE-2022-37969 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-136a,review,exploited_by_boundary_recertification_required,R6,T1068,,"BianLian group actors have exploited CVE-2022-37969, which affects Windows 10 and 11 systems, to escalate privileges [T1068].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-136a/R6 directly binds CVE-2022-37969 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-158a,blocking,weakness_without_local_explicit_cwe,E23,SQL injection,CWE-89,"According to open source information, beginning on May 27, 2023, CL0P Ransomware Gang, also known as TA505, began exploiting a previously unknown SQL injection vulnerability (
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-158a,blocking,weakness_without_local_explicit_cwe,E61,SQL injection,CWE-89," In May 2023, the CL0P ransomware group exploited a SQL injection zero-day vulnerability 
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-158a,blocking,weakness_without_local_explicit_cwe,E63,SQL injection,CWE-89,CL0P ransomware group exploited the zero-day vulnerability CVE-2023-34362 affecting MOVEit Transfer software; begins with a SQL injection to infiltrate the MOVEit Transfer web application.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-158a,review,exploited_by_boundary_recertification_required,R11,T1190,,"In May 2023, the CL0P ransomware group exploited a SQL injection zero-day vulnerability 
CVE-2023-34362
 to install a web shell named LEMURLOOT on MOVEit Transfer web applications [
T1190
] [
1
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-158a/R11 directly binds CVE-2023-34362 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-158a,review,exploited_by_boundary_recertification_required,R4,T1190,,"T1190
CL0P ransomware group exploited the zero-day vulnerability CVE-2023-34362 affecting MOVEit Transfer software",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-158a/R4 directly binds CVE-2023-34362 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-201a,review,exploited_by_boundary_recertification_required,R1,T1190,,"T1190
The threat actors exploited CVE-2023-3519 to implant a webshell on the organization’s NetScaler ADC appliance.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-201a/R1 directly binds CVE-2023-3519 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-208a,blocking,weakness_without_local_explicit_cwe,E2,IDOR vulnerability,CWE-639,"[2] The apps collected and relayed data from the phones to the same foreign server infrastructure, which contained an IDOR vulnerability, CVE-2022-0732.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-278a,review,exploited_by_boundary_recertification_required,R1,T1190,,"Assessment teams have observed threat actors exploiting many CVEs in public-facing applications [
T1190
], including:
CVE-2019-18935 in an unpatched instance of Telerik
®
 UI for ASP.NET running on a Microsoft IIS server.[14]",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa23-278a/R1 directly binds CVE-2019-18935 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-289a,blocking,weakness_without_local_explicit_cwe,E18,Broken Access Control,CWE-284," For a downloadable copy of IOCs, see: • AA23-289A STIX XML • AA23-289A STIX JSON CISA  FBI | MS-ISAC TLP:CLEAR Page 2 of 6 | Product ID: AA23-289A TLP:CLEAR TECHNICAL DETAILS Overview CVE-2023-22515 is a critical Broken Access Control vulnerability affecting the following versions of Atlassian Con",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-339a,blocking,weakness_without_local_explicit_cwe,E55,improper access control,CWE-284, This vulnerability presents as an improper access control issue impacting Adobe ColdFusion versions 2018 Update 15 (and earlier) and 2021 Update 5 (and earlier).,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-339a,review,exploited_by_boundary_recertification_required,R2,T1190,,"Incident 1 As early as June 26, 2023, threat actors obtained an initial foothold on a public-facing [T1190] web server running Adobe ColdFusion v2016.0.0.3 through exploitation of CVE-2023-26360.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-339a/R2 directly binds CVE-2023-26360 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-339a-coldfusion-cve-26360,blocking,weakness_without_local_explicit_cwe,E2,improper access control,CWE-284, This vulnerability presents as an improper access control issue impacting Adobe ColdFusion versions 2018 Update 15 (and earlier) and 2021 Update 5 (and earlier).,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-339a-coldfusion-cve-26360,blocking,configuration_release_bearing_span,E4,Adobe ColdFusion v2021.0.0.2,cpe:2.3:a:adobe:coldfusion:2021.0.0.2:*:*:*:*:*:*:*,,,REVISE_SPAN,revised span to shortest independently identifiable product name 'Adobe ColdFusion' excluding release version per chapter3-boundary-sync-v1 Section 2.1,expert_adjudicator,2026-09-14
train,aa23-339a-coldfusion-cve-26360,blocking,configuration_release_bearing_span,E5,Adobe ColdFusion v2016.0.0.3,cpe:2.3:a:adobe:coldfusion:2016.0.0.3:*:*:*:*:*:*:*,,,REVISE_SPAN,revised span to shortest independently identifiable product name 'Adobe ColdFusion' excluding release version per chapter3-boundary-sync-v1 Section 2.1,expert_adjudicator,2026-09-14
train,aa23-347a,blocking,explicit_post_exploitation_sequence;exploited_by_boundary_recertification_required,R3,T1203,,Exploitation for Client Execution T1203 SVR cyber actors leverage arbitrary code execution after exploiting CVE- 2023-42793.,verified single-endpoint factual clause,REJECT,rejected under chapter3-boundary-sync-v1: evidence states post-exploitation activity rather than the CVE's direct ATT&CK exploit role; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-347a,review,exploited_by_boundary_recertification_required,R8,T1190,,Exploit Public-Facing Application T1190 SVR cyber actors exploit internet- connected JetBrains TeamCity server using CVE-2023-42793 for initial access.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-347a/R8 directly binds CVE-2023-42793 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-347a-play-ransomware,review,exploited_by_boundary_recertification_required,R2,T1190,,"The SVR started to exploit Internet-connected JetBrains TeamCity servers [
T1190
] in late September 2023 using CVE-2023-42793, which enables the insecure handling of specific paths allowing for bypassing authorization, resulting in arbitrary code execution on the server.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-347a-play-ransomware/R2 directly binds CVE-2023-42793 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-347a-play-ransomware,blocking,explicit_post_exploitation_sequence;exploited_by_boundary_recertification_required,R3,T1203,,"T1203
SVR cyber actors leverage arbitrary code execution after exploiting CVE-2023-42793.",verified single-endpoint factual clause,REJECT,rejected under chapter3-boundary-sync-v1: evidence states post-exploitation activity rather than the CVE's direct ATT&CK exploit role; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-347a-play-ransomware,review,exploited_by_boundary_recertification_required,R8,T1190,,"T1190
SVR cyber actors exploit internet-connected JetBrains TeamCity server using CVE-2023-42793 for initial access.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-347a-play-ransomware/R8 directly binds CVE-2023-42793 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa24-038a,blocking,weakness_without_local_explicit_cwe,E2,buffer overflow,CWE-120, There is evidence of a buffer overflow attack identified within the Secure Sockets Layer (SSL)-VPN crash logs.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-038a-volt-typhoon,blocking,weakness_without_local_explicit_cwe,E132,buffer overflow,CWE-120, There is evidence of a buffer overflow attack identified within the Secure Sockets Layer (SSL)-VPN crash logs.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-046a,blocking,weakness_without_local_explicit_cwe,E3,deserialization,CWE-502, This process is known as deserialization.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-046a,blocking,weakness_without_local_explicit_cwe,E4,cross-site scripting,CWE-79," HOW Threat actors use different defense evasion techniques, which range from disabling security software to cross-site scripting.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-193a,blocking,explicit_post_exploitation_sequence;exploited_by_boundary_recertification_required,R2,T1071.001,,Application Layer Protocol: Web Protocols T1071.001 The red team exploited CVE-2022- 21587 and ran a RAT that provided consistent C2 via open Transmis,verified single-endpoint factual clause,REJECT,rejected under chapter3-boundary-sync-v1: evidence states post-exploitation activity rather than the CVE's direct ATT&CK exploit role; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-290a,review,exploited_by_boundary_recertification_required,R5,T1068,,"Exploitation for Privilege Escalation T1068 The actors attempted impersonation of the domain controller likely by exploiting CVE-2020-1472, Microsoft’s Netlogon Privilege Escalation vulnerability.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-290a/R5 directly binds CVE-2020-1472 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa24-290a,review,exploited_by_boundary_recertification_required,R6,T1202,,"Indirect Command Execution T1202 The actors attempted impersonation of the Domain Controller likely by exploiting CVE-2020-1472, Microsoft’s Netlogon Privilege Escalation vulnerability.",verified single-endpoint factual clause,REJECT,rejected under chapter3-boundary-sync-v1: the duplicated T1202 table entry classifies adjacent Indirect Command Execution behavior and does not state that CVE-2020-1472 directly instantiates T1202; the direct exploitation mapping is retained only as T1068 in R5,expert_adjudicator,2026-09-14
train,aa24-317a,blocking,weakness_without_local_explicit_cwe,E84,deserialization,CWE-502, Allows a malicious cyber actor to obtain remote code execution via this access by abusing a deserialization call.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-317a,blocking,weakness_without_local_explicit_cwe,E85,buffer overflow,CWE-120, Allows an unauthenticated user to cause a stack buffer overflow in the NSPPE process by using a HTTP GET request.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa24-317a,blocking,weakness_without_local_explicit_cwe,E86,command injection,CWE-78, CVE-2023-2868 : This is a remote command injection vulnerability that affects the Barracuda Networks Email Security Gateway (ESG) Appliance.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa25-071a,blocking,weakness_without_local_explicit_cwe,E68,CWE 89,CWE-89,  Exploitation of unpatched software vulnerabilities [T1190] through Common Vulnerabilities and Exposures (CVEs) such as the ScreenConnect vulnerability CVE-2024-1709 [CWE-288: Authentication Bypass Using an Alternate Path or Channel] and Fortinet EMS SQL injection vulnerability [CVE-2023-48788 [CW,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa25-163a,blocking,weakness_without_local_explicit_cwe,E3,path traversal,CWE-22,"7 and earlier contain several vulnerabilities, including CVE-2024-57727—a path traversal vulnerability.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa25-266a,review,exploited_by_boundary_recertification_required,R5,T1068,,"The cyber threat actors attempted to escalate privileges with the publicly available dirtycow tool,1F2 which can be used to exploit CVE-2016-5195 [CWE-362: “Race Condition”] [T1068].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa25-266a/R5 directly binds CVE-2016-5195 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa25-266a,review,exploited_by_boundary_recertification_required,R6,T1190,,"To gain initial access to GeoServer 1 and GeoServer 2, the cyber threat actors exploited CVE 2024-36401 [T1190].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa25-266a/R6 directly binds CVE-2024-36401 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,accellion-fta-nvd-accellion-27101,blocking,weakness_without_local_explicit_cwe,E2,SQL injection,CWE-89,- Accellion FTA 9_12_370 and earlier is affected by SQL injection via a crafted Host header in a request to document_root.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,apache-httpd-41773-tenable-httpd-41773,blocking,weakness_without_local_explicit_cwe,E3,path traversal,CWE-22, The vulnerability arises from the mishandling of URL-encoded path traversal characters in the HTTP GET request.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,apache-httpd-41773-tenable-httpd-41773,blocking,weakness_without_local_explicit_cwe,E6,path traversal,CWE-22," According to their advisory, ""an attacker could use a path traversal attack to map URLs to files outside the directories configured by Alias-like directives.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,citrix-adc-cisa-citrix-3519-webshells,review,exploited_by_boundary_recertification_required,R7,T1190,,"T1190
The threat actors exploited CVE-2023-3519 to implant a webshell on the organization’s NetScaler ADC appliance.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; citrix-adc-cisa-citrix-3519-webshells/R7 directly binds CVE-2023-3519 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,citrix-adc-tenable-citrix-19781-cve,blocking,weakness_without_local_explicit_cwe,E2,Directory Traversal,CWE-22, They allow Directory Traversal.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E15,improper authentication,CWE-287,CVE-2020-12812 is an improper authentication vulnerability in SSL VPN in FortiOS 6.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E16,directory traversal,CWE-22,CVE-2016-3976 is a directory traversal vulnerability in SAP NetWeaver AS Java 7.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E2,path traversal,CWE-22,CVE-2018-13379 is a pre-authentication information disclosure vulnerability that arises from a path traversal flaw in the web portal component of FortiOS SSL VPNs.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E33,missing authentication check,CWE-306,CVE-2020-6207 arises from a missing authentication check in version 7.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E34,XML External Entity (XXE),CWE-611,5 that allows remote authenticated users to conduct XML External Entity (XXE) attacks via the sap.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,fortios-sslvpn-rapid7-fortinet-targeting,blocking,weakness_without_local_explicit_cwe,E35,lack of authentication,CWE-306,CVE-2010-5326 is a CVSS-10 vulnerability in the Invoker Servlet on SAP NetWeaver Application Server Java platforms that arises from a lack of authentication and allows remote attackers to execute arbitrary code via an HTTP or HTTPS request.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,goanywhere-nvd-goanywhere-0669,blocking,weakness_without_local_explicit_cwe,E7,command injection,CWE-77,"- Fortra (formerly, HelpSystems) GoAnywhere MFT suffers from a pre-authentication command injection vulnerability in the License Response Servlet due to deserializing an arbitrary attacker-controlled object.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
